"filename", "language", "Python", "pip requirements", "Markdown", "Docker", "YAML", "JSON", "CSV", "Ignore", "comment", "blank", "total"
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\api_mock\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\api_mock\mock_product_api.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\dashboard\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\dashboard\app.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 1, 20, 77
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\db\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\db\loader.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 15, 70
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\db\models.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\etl\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\etl\etl_runner.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 2, 10, 39
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\etl\extract.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\etl\reporting.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\etl\scheduler.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\etl\transform.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 9, 20, 77
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\utils\config.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\utils\io.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\src\app\utils\logging.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\tests\test_transform.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"Total", "-", 355, 16, 31, 6, 57, 13, 8, 5, 18, 155, 664
