"filename", "language", "YAML", "Markdown", "Docker", "Python", "pip requirements", "MS SQL", "JSON", "comment", "blank", "total"
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\extractors\api_extractor.py", "Python", 0, 0, 0, 84, 0, 0, 0, 29, 21, 134
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\extractors\base.py", "Python", 0, 0, 0, 10, 0, 0, 0, 14, 6, 30
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\extractors\csv_extractor.py", "Python", 0, 0, 0, 33, 0, 0, 0, 24, 12, 69
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\extractors\json_extractor.py", "Python", 0, 0, 0, 42, 0, 0, 0, 25, 14, 81
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\loaders\__init__.py", "Python", 0, 0, 0, 3, 0, 0, 0, 1, 3, 7
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\loaders\database.py", "Python", 0, 0, 0, 109, 0, 0, 0, 53, 23, 185
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\loaders\loader.py", "Python", 0, 0, 0, 115, 0, 0, 0, 42, 21, 178
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\transformers\__init__.py", "Python", 0, 0, 0, 2, 0, 0, 0, 1, 3, 6
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\transformers\transformer.py", "Python", 0, 0, 0, 145, 0, 0, 0, 60, 58, 263
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\utils\__init__.py", "Python", 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\utils\config.py", "Python", 0, 0, 0, 66, 0, 0, 0, 7, 17, 90
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\utils\exceptions.py", "Python", 0, 0, 0, 16, 0, 0, 0, 9, 17, 42
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\utils\logger.py", "Python", 0, 0, 0, 33, 0, 0, 0, 16, 10, 59
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\utils\models.py", "Python", 0, 0, 0, 90, 0, 0, 0, 10, 15, 115
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\utils\report_generator.py", "Python", 0, 0, 0, 92, 0, 0, 0, 105, 10, 207
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\utils\scheduler.py", "Python", 0, 0, 0, 66, 0, 0, 0, 22, 20, 108
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\tests\__init__.py", "Python", 0, 0, 0, 1, 0, 0, 0, 1, 2, 4
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\tests\conftest.py", "Python", 0, 0, 0, 4, 0, 0, 0, 2, 3, 9
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\tests\test_extractors.py", "Python", 0, 0, 0, 57, 0, 0, 0, 15, 22, 94
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\tests\test_transformers.py", "Python", 0, 0, 0, 62, 0, 0, 0, 11, 28, 101
"Total", "-", 75, 2424, 14, 1462, 13, 113, 21, 536, 1152, 5810
